image,label
2008_003496_jpg.rf.8f88eec3b16c745af1690235794e6926.jpg,2008_003496_jpg.rf.8f88eec3b16c745af1690235794e6926.txt
2008_007913_jpg.rf.1deeb931b73e3c9a437cd3a3aaf3c344.jpg,2008_007913_jpg.rf.1deeb931b73e3c9a437cd3a3aaf3c344.txt
2009_003508_jpg.rf.dc38cf33e80c9e41cef7fa95aae90589.jpg,2009_003508_jpg.rf.dc38cf33e80c9e41cef7fa95aae90589.txt
2009_004213_jpg.rf.fd3a56b7bcf4a8988e6b699aca02a25e.jpg,2009_004213_jpg.rf.fd3a56b7bcf4a8988e6b699aca02a25e.txt
2009_002698_jpg.rf.be4fc66ffacb174f5639e50c9562fbd3.jpg,2009_002698_jpg.rf.be4fc66ffacb174f5639e50c9562fbd3.txt
2009_003806_jpg.rf.baa514a810e870c70345b918757b7d0a.jpg,2009_003806_jpg.rf.baa514a810e870c70345b918757b7d0a.txt
2011_003419_jpg.rf.c6d33fe99caa0c37a5f8ceeb1fd1f6e5.jpg,2011_003419_jpg.rf.c6d33fe99caa0c37a5f8ceeb1fd1f6e5.txt
2011_004687_jpg.rf.aa380f2f4360611fbe62dc643d6ba0bf.jpg,2011_004687_jpg.rf.aa380f2f4360611fbe62dc643d6ba0bf.txt
2008_003170_jpg.rf.61f6ee9e0b0e272e05f7b5a2e0539c8d.jpg,2008_003170_jpg.rf.61f6ee9e0b0e272e05f7b5a2e0539c8d.txt
2009_003977_jpg.rf.f9a1bb1e075449ae920b13dd7d6d41ff.jpg,2009_003977_jpg.rf.f9a1bb1e075449ae920b13dd7d6d41ff.txt
2009_005158_jpg.rf.217c29e56d096771c8b3f4a1266cea46.jpg,2009_005158_jpg.rf.217c29e56d096771c8b3f4a1266cea46.txt
2008_008302_jpg.rf.a2138aea577ac0522c659a3aa15fb049.jpg,2008_008302_jpg.rf.a2138aea577ac0522c659a3aa15fb049.txt
2011_004028_jpg.rf.4801890b521edfe8e0910418c3a6cc48.jpg,2011_004028_jpg.rf.4801890b521edfe8e0910418c3a6cc48.txt
2011_003943_jpg.rf.f408e2a1dadf626479b48ab26321cb78.jpg,2011_003943_jpg.rf.f408e2a1dadf626479b48ab26321cb78.txt
2009_004073_jpg.rf.8b56273f800943d891fbcbd07319e147.jpg,2009_004073_jpg.rf.8b56273f800943d891fbcbd07319e147.txt
2008_003545_jpg.rf.c181cd62d92878f15345ef3c255516ea.jpg,2008_003545_jpg.rf.c181cd62d92878f15345ef3c255516ea.txt
2011_004836_jpg.rf.4f51d878563bd6db250f72d4a520979f.jpg,2011_004836_jpg.rf.4f51d878563bd6db250f72d4a520979f.txt
2008_007165_jpg.rf.263424a74db4320aff0ac34914eeb721.jpg,2008_007165_jpg.rf.263424a74db4320aff0ac34914eeb721.txt
2008_003796_jpg.rf.9ceaee2771d70e4173dfe82bfb11df37.jpg,2008_003796_jpg.rf.9ceaee2771d70e4173dfe82bfb11df37.txt
2011_004741_jpg.rf.64ab93a3c50fbaafeebbb31b6512bf7d.jpg,2011_004741_jpg.rf.64ab93a3c50fbaafeebbb31b6512bf7d.txt
2009_004020_jpg.rf.a634da47e6ab3b57f7589d6b0ac1eb86.jpg,2009_004020_jpg.rf.a634da47e6ab3b57f7589d6b0ac1eb86.txt
2011_003642_jpg.rf.260e9feaa4acbde40a8cf6ecaaa09048.jpg,2011_003642_jpg.rf.260e9feaa4acbde40a8cf6ecaaa09048.txt
2008_003684_jpg.rf.1f100cefffc000d4ef92eb4e873caa5e.jpg,2008_003684_jpg.rf.1f100cefffc000d4ef92eb4e873caa5e.txt
2011_004686_jpg.rf.395a4845d2b7f3741847e622ac07402e.jpg,2011_004686_jpg.rf.395a4845d2b7f3741847e622ac07402e.txt
2009_003895_jpg.rf.2230f4e2b60a1e8da98d28c0c11ea3ed.jpg,2009_003895_jpg.rf.2230f4e2b60a1e8da98d28c0c11ea3ed.txt
2008_007424_jpg.rf.ca6443923cd14d000b3d7787bf4dc211.jpg,2008_007424_jpg.rf.ca6443923cd14d000b3d7787bf4dc211.txt
2009_004228_jpg.rf.d1cca9508aa5a02f8cdef9b36ba4cbb5.jpg,2009_004228_jpg.rf.d1cca9508aa5a02f8cdef9b36ba4cbb5.txt
2008_008091_jpg.rf.a8b479fdde065ca0ae6b07a184858749.jpg,2008_008091_jpg.rf.a8b479fdde065ca0ae6b07a184858749.txt
2011_003719_jpg.rf.f5e8bb75635a64418f8eb838d628a88c.jpg,2011_003719_jpg.rf.f5e8bb75635a64418f8eb838d628a88c.txt
2011_003973_jpg.rf.066a8b7fd009f38bbb1ce75796cb26ca.jpg,2011_003973_jpg.rf.066a8b7fd009f38bbb1ce75796cb26ca.txt
2011_004102_jpg.rf.5fca7f85305fa8fada45132f92dcf982.jpg,2011_004102_jpg.rf.5fca7f85305fa8fada45132f92dcf982.txt
2008_003924_jpg.rf.6bb76ed170e02ea8d53f53fb8ee2060d.jpg,2008_003924_jpg.rf.6bb76ed170e02ea8d53f53fb8ee2060d.txt
